,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Oman,U.A.E.,Oman,5 wickets,Al Amerat,2020-01-05,ODI # 4224
1,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat,2020-01-06,ODI # 4225
2,West Indies,Ireland,West Indies,5 wickets,Bridgetown,2020-01-07,ODI # 4226
3,Oman,Namibia,Namibia,52 runs,Al Amerat,2020-01-08,ODI # 4227
4,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat,2020-01-09,ODI # 4228
5,West Indies,Ireland,West Indies,1 wicket,Bridgetown,2020-01-09,ODI # 4229
6,West Indies,Ireland,West Indies,5 wickets,St George's,2020-01-12,ODI # 4230
7,India,Australia,Australia,10 wickets,Wankhede,2020-01-14,ODI # 4231
8,India,Australia,India,36 runs,Rajkot,2020-01-17,ODI # 4232
9,India,Australia,India,7 wickets,Bengaluru,2020-01-19,ODI # 4233
10,South Africa,England,South Africa,7 wickets,Cape Town,2020-02-04,ODI # 4234
11,New Zealand,India,New Zealand,4 wickets,Hamilton,2020-02-05,ODI # 4235
12,Nepal,Oman,Oman,18 runs,Kirtipur,2020-02-05,ODI # 4236
13,Oman,U.S.A.,Oman,6 wickets,Kirtipur,2020-02-06,ODI # 4237
14,South Africa,England,no result,-,Durban,2020-02-07,ODI # 4238
15,New Zealand,India,New Zealand,22 runs,Auckland,2020-02-08,ODI # 4239
16,Nepal,U.S.A.,Nepal,35 runs,Kirtipur,2020-02-08,ODI # 4240
17,Nepal,Oman,Oman,8 wickets,Kirtipur,2020-02-09,ODI # 4241
18,South Africa,England,England,2 wickets,Johannesburg,2020-02-09,ODI # 4242
19,New Zealand,India,New Zealand,5 wickets,Mount Maunganui,2020-02-11,ODI # 4243
20,Oman,U.S.A.,Oman,92 runs,Kirtipur,2020-02-11,ODI # 4244
21,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur,2020-02-12,ODI # 4245
22,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC),2020-02-22,ODI # 4246
23,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota,2020-02-26,ODI # 4247
24,South Africa,Australia,South Africa,74 runs,Paarl,2020-02-29,ODI # 4248
25,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet,2020-03-01,ODI # 4249
26,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele,2020-03-01,ODI # 4250
27,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet,2020-03-03,ODI # 4251
28,South Africa,Australia,South Africa,6 wickets,Bloemfontein,2020-03-04,ODI # 4252
29,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet,2020-03-06,ODI # 4253
30,South Africa,Australia,South Africa,6 wickets,Potchefstroom,2020-03-07,ODI # 4254
31,Australia,New Zealand,Australia,71 runs,Sydney,2020-03-13,ODI # 4255
32,England,Ireland,England,6 wickets,Southampton,2020-07-30,ODI # 4256
33,England,Ireland,England,4 wickets,Southampton,2020-08-01,ODI # 4257
34,England,Ireland,Ireland,7 wickets,Southampton,2020-08-04,ODI # 4258
35,England,Australia,Australia,19 runs,Manchester,2020-09-11,ODI # 4259
36,England,Australia,England,24 runs,Manchester,2020-09-13,ODI # 4260
37,England,Australia,Australia,3 wickets,Manchester,2020-09-16,ODI # 4261
38,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,2020-10-30,ODI # 4262
39,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,2020-11-01,ODI # 4263
40,Pakistan,Zimbabwe,tied,-,Rawalpindi,2020-11-03,ODI # 4264
41,Australia,India,Australia,66 runs,Sydney,2020-11-27,ODI # 4265
42,Australia,India,Australia,51 runs,Sydney,2020-11-29,ODI # 4266
43,Australia,India,India,13 runs,Canberra,2020-12-02,ODI # 4267
